Sr No,Date,StartUp,Vertical,Subvertical,Location,Investors,Round,Amount
834,2017-05-20,yepme,eCommerce,Private Fashion Brand etailer,New Delhi,gokaldas exports ltd,Private Equity,0.0
835,2017-05-22,delhivery,Logistics,ECommerce Logistics provider,New Delhi,fosun international,Private Equity,256.71
836,2017-05-22,zipgrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,jll 1crowd,Seed Funding,4.2785
837,2017-05-23,travelspice,ECommerce,Travel ECommerce portal,Hyderabad,eagle10,Seed Funding,0.0
838,2017-05-23,magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,lightspeed venture partners vy capital,Private Equity,56.4762
839,2017-05-23,the print,Consumer Internet,News Portal,New Delhi,ratan tata nandan nilekani uday kotak vijay shekhar sharma kiran mazumdarshaw rajiv c mody,Seed Funding,0.0
840,2017-05-23,box8,Consumer Internet,Food Delivery Platform,Mumbai,trifecta capital,Private Equity,8.557
841,2017-05-24,gennext students,Consumer Internet,Online Tutoring Services,Mumbai,undisclosed investors,Seed Funding,4.96306
842,2017-05-25,aye finance,Finance,Non-Banking Financial Company,Gurgaon,blue orchard,Private Equity,68.456
844,2017-05-29,cube consumer services,Consumer Internet,Finance management Mobile app,Mumbai,disclosed,Seed Funding,0.0
845,2017-05-29,nivesh,Consumer Internet,Online MF investment platform,Noida,pv sahad sandeep shroff rahul gupta,Seed Funding,0.0
846,2017-05-29,wowflux,Technology,image Processing solution,New Delhi,undisclosed investors,Seed Funding,0.0
847,2017-05-29,collateral medical,eCommerce,Online Medical equipment supplier,Mumbai,carpediem capital,Private Equity,29.9495
848,2017-05-30,loadshare,Logistics,Express Logistics Network,Bangalore,matrix partners,Seed Funding,0.0
849,2017-05-30,simplilend,Consumer Internet,Online lending platform,New Delhi,undisclosed investors,Seed Funding,0.0
850,2017-05-30,supr daily,Consumer Internet,Subscription based delivery platform,Mumbai,soma capital great oaks 122 west,Private Equity,12.835499999999998
851,2017-05-30,swiggy,Consumer Internet,Online food delivery platform,Bangalore,nasper accel india saif partners bessemer venture partners harmony partners norwest venture partners,Private Equity,684.56
852,2017-05-31,sastasundar,eCommerce,Online Pharmacy,Kolkata,rohto pharmaceutical,Private Equity,42.785
853,2017-05-31,magicpin,Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,lightspeed india partners waterbridge,Private Equity,59.899
854,2017-01-04,cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,mathew cyriac florintree advisors,Private Equity,32.5166
855,2017-03-04,eruditus,Education,Executive Education Provider,Mumbai,bertelsmann india,Private Equity,70.1674
856,2017-03-04,testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,matrix partners india,Private Equity,0.0
857,2017-03-04,healthcare at home,Healthcare,Home Healthcare Provider,Noida,quadria capital advisors,Private Equity,342.28
858,2017-03-04,tyre express,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,rohitash gupta,Seed Funding,0.0
859,2017-03-04,smartcoin,Consumer Internet,Micro Lending platform,Bangalore,unicorn india others,Private Equity,0.0
860,2017-04-04,waycool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,aspada investments,Private Equity,23.103899999999996
